Date,Model,Batch_size,epochs,Learning_rate,Training_Report,Confusion_Matrix,acc,val_acc,loss,val_loss,DATA_TYPE
Thu Oct  6 22:13:51 2022,MobileNet,32,50,1e-06,"              precision    recall  f1-score   support

      Benign       0.69      0.75      0.72       391
        Calc       0.85      0.81      0.83       347
        Mass       0.83      0.85      0.84       325
   Melignant       0.55      0.51      0.53       281

   micro avg       0.74      0.74      0.74      1344
   macro avg       0.73      0.73      0.73      1344
weighted avg       0.74      0.74      0.74      1344
 samples avg       0.75      0.74      0.73      1344
",148_133_98_293_274_51_67_280_292_55_49_276_276_115_138_143_,,,,,
Thu Oct  6 23:56:30 2022,MobileNet,32,50,1e-06,"              precision    recall  f1-score   support

      Benign       0.68      0.65      0.66       391
          CC       0.51      0.46      0.48       320
        Calc       0.84      0.83      0.83       347
         MLO       0.53      0.59      0.56       352
        Mass       0.79      0.85      0.82       325
   Melignant       0.57      0.57      0.57       281

   micro avg       0.66      0.66      0.66      2016
   macro avg       0.65      0.66      0.65      2016
weighted avg       0.66      0.66      0.66      2016
 samples avg       0.67      0.66      0.65      2016
",161_120_138_253_208_144_173_147_271_54_60_287_134_186_144_208_274_73_49_276_268_123_121_160_,,,,,
Tue Oct 11 00:05:15 2022,MobileNet,32,10,1e-05,"              precision    recall  f1-score   support

      Benign       0.56      0.55      0.55       215
   Malignant       0.39      0.40      0.39       154

    accuracy                           0.49       369
   macro avg       0.47      0.47      0.47       369
weighted avg       0.49      0.49      0.49       369
",118_97_93_61_,0.5303643941879272_0.5904183387756348_0.6039136052131653_0.6342779994010925_0.6275303363800049_0.6417003870010376_0.6423751711845398_0.6464237570762634_0.6383265852928162_0.6524966359138489_,0.5799458026885986_0.6070460677146912_0.6395664215087891_0.6178861856460571_0.6531165242195129_0.6368563771247864_0.6531165242195129_0.6504064798355103_0.6449864506721497_0.6476964950561523_,0.8433954119682312_0.7566856741905212_0.7471235394477844_0.705795168876648_0.7044681310653687_0.6942352652549744_0.6836643218994141_0.6843766570091248_0.6722626686096191_0.6623744964599609_,0.756586492061615_0.7264150977134705_0.7196296453475952_0.708402693271637_0.7074755430221558_0.6985195875167847_0.7076161503791809_0.6987600922584534_0.6927710771560669_0.6928423643112183_,MLO
Tue Oct 11 18:57:46 2022,MobileNet,32,10,1e-05,"              precision    recall  f1-score   support

      Benign       0.58      0.40      0.47       215
   Malignant       0.41      0.60      0.49       154

    accuracy                           0.48       369
   macro avg       0.50      0.50      0.48       369
weighted avg       0.51      0.48      0.48       369
",85_130_62_92_,0.5371119976043701_0.5958164930343628_0.601214587688446_0.6349527835845947_0.6201079487800598_0.6349527835845947_0.6632928252220154_0.6558704376220703_0.6646423935890198_0.6484480500221252_,0.5121951103210449_0.5338753461837769_0.5149051547050476_0.5338753461837769_0.5636856555938721_0.5636856555938721_0.5392953753471375_0.5392953753471375_0.5420054197311401_0.5555555820465088_,0.8547170758247375_0.7633264064788818_0.7518017888069153_0.7184199690818787_0.706725001335144_0.6907885074615479_0.679202675819397_0.6701897978782654_0.6653075814247131_0.6682752966880798_,0.8285835981369019_0.8126257658004761_0.8023139834403992_0.7805203795433044_0.7471693158149719_0.7392900586128235_0.7522282600402832_0.7553866505622864_0.7403775453567505_0.7386600971221924_,MLO
Tue Oct 11 19:22:13 2022,MobileNet,32,10,1e-05,"              precision    recall  f1-score   support

      Benign       0.57      0.60      0.58       215
   Malignant       0.40      0.38      0.39       154

    accuracy                           0.50       369
   macro avg       0.49      0.49      0.49       369
weighted avg       0.50      0.50      0.50       369
",128_87_96_58_,0.5620782971382141_0.6045883893966675_0.6093117594718933_0.6221322417259216_0.6497975587844849_0.6457489728927612_0.6369770765304565_0.6450742483139038_0.6518218517303467_0.6518218517303467_,0.5799458026885986_0.6151761412620544_0.6151761412620544_0.6124660968780518_0.6233062148094177_0.6205962300300598_0.6368563771247864_0.642276406288147_0.6233062148094177_0.6449864506721497_,0.8241259455680847_0.7555738687515259_0.739916205406189_0.712225079536438_0.6871212720870972_0.7069650292396545_0.6867426037788391_0.6832461357116699_0.6654886603355408_0.6670491099357605_,0.7906357049942017_0.7531802654266357_0.7370977401733398_0.7265101671218872_0.7158371210098267_0.7058141231536865_0.7012508511543274_0.7008516192436218_0.722829282283783_0.6877154111862183_,MLO
Wed Oct 12 21:15:56 2022,InceptionV3,32,10,1e-05,"              precision    recall  f1-score   support

      Benign       0.62      0.59      0.60       191
   Malignant       0.46      0.49      0.47       135

    accuracy                           0.55       326
   macro avg       0.54      0.54      0.54       326
weighted avg       0.55      0.55      0.55       326
",112_79_69_66_,0.5378729701042175_0.5761285424232483_0.5975516438484192_0.62739098072052_0.6281560659408569_0.6128538846969604_0.6518745422363281_0.6480489373207092_0.6503443121910095_0.6725324988365173_,0.5429447889328003_0.5766870975494385_0.6012269854545593_0.6104294657707214_0.60429447889328_0.6012269854545593_0.6073619723320007_0.6196318864822388_0.6226993799209595_0.6319018602371216_,0.7984979748725891_0.7263303399085999_0.7048684358596802_0.6839126348495483_0.658875048160553_0.6692707538604736_0.6451401710510254_0.6419237852096558_0.6474093794822693_0.6253695487976074_,0.732151985168457_0.7131213545799255_0.6979763507843018_0.6875343322753906_0.6807065010070801_0.6738355755805969_0.6682117581367493_0.6605321168899536_0.6606276035308838_0.6596532464027405_,CC
Wed Oct 12 21:16:29 2022,InceptionV3,32,10,1e-05,"              precision    recall  f1-score   support

      Benign       0.57      0.54      0.55       191
   Malignant       0.39      0.42      0.41       135

    accuracy                           0.49       326
   macro avg       0.48      0.48      0.48       326
weighted avg       0.50      0.49      0.49       326
",103_88_78_57_,0.5378729701042175_0.5761285424232483_0.5975516438484192_0.62739098072052_0.6281560659408569_0.6128538846969604_0.6518745422363281_0.6480489373207092_0.6503443121910095_0.6725324988365173_,0.5429447889328003_0.5766870975494385_0.6012269854545593_0.6104294657707214_0.60429447889328_0.6012269854545593_0.6073619723320007_0.6196318864822388_0.6226993799209595_0.6319018602371216_,0.7984979748725891_0.7263303399085999_0.7048684358596802_0.6839126348495483_0.658875048160553_0.6692707538604736_0.6451401710510254_0.6419237852096558_0.6474093794822693_0.6253695487976074_,0.732151985168457_0.7131213545799255_0.6979763507843018_0.6875343322753906_0.6807065010070801_0.6738355755805969_0.6682117581367493_0.6605321168899536_0.6606276035308838_0.6596532464027405_,CC
Wed Oct 12 21:23:13 2022,InceptionV3,32,20,1e-05,"              precision    recall  f1-score   support

      Benign       0.61      0.77      0.69       191
   Malignant       0.49      0.31      0.38       135

    accuracy                           0.58       326
   macro avg       0.55      0.54      0.53       326
weighted avg       0.56      0.58      0.56       326
",148_43_93_42_,0.5501147508621216_0.5669472217559814_0.6205049753189087_0.6365723013877869_0.6442233920097351_0.6442233920097351_0.661055862903595_0.6572303175926208_0.652639627456665_0.6694720983505249_0.6503443121910095_0.6579954028129578_0.6595256328582764_0.6671767234802246_0.6625860929489136_0.6817138195037842_0.673297643661499_0.6725324988365173_0.6847742795944214_0.6847742795944214_,0.5828220844268799_0.6196318864822388_0.6257668733596802_0.6134969592094421_0.6411042809486389_0.6319018602371216_0.6319018602371216_0.6472392678260803_0.6319018602371216_0.6288343667984009_0.6288343667984009_0.6288343667984009_0.6226993799209595_0.6380367875099182_0.6349693536758423_0.6288343667984009_0.6349693536758423_0.6319018602371216_0.6319018602371216_0.6257668733596802_,0.7864028215408325_0.7278932929039001_0.6835207939147949_0.6687776446342468_0.6578847169876099_0.6518887877464294_0.6445380449295044_0.6465060114860535_0.6370391845703125_0.6137694120407104_0.626628041267395_0.6257271766662598_0.6332116723060608_0.6147131323814392_0.6203164458274841_0.6134251952171326_0.599196195602417_0.6135497689247131_0.593449056148529_0.599849283695221_,0.6902744770050049_0.6741338968276978_0.665296733379364_0.6622729897499084_0.6531316637992859_0.6498715281486511_0.6529178023338318_0.6425241827964783_0.6444857716560364_0.6480445861816406_0.6466425657272339_0.6404109001159668_0.6384706497192383_0.6413272023200989_0.6348180174827576_0.6348893046379089_0.6346316933631897_0.632250189781189_0.6356909275054932_0.6350241899490356_,CC
Thu Oct 13 20:35:53 2022,InceptionV3,32,20,1e-05,"              precision    recall  f1-score   support

      Benign       0.56      0.60      0.58       191
   Malignant       0.37      0.33      0.35       135

    accuracy                           0.49       326
   macro avg       0.46      0.46      0.46       326
weighted avg       0.48      0.49      0.48       326
",115_76_91_44_,0.5661820769309998_0.5975516438484192_0.5891354084014893_0.6449885368347168_0.6426931619644165_0.6564651727676392_0.6457536220550537_0.6518745422363281_0.6388676166534424_0.6503443121910095_0.6641163229942322_0.6434583067893982_0.6687069535255432_0.6312165260314941_0.6840091943740845_0.6824789643287659_0.673297643661499_0.665646493434906_0.6931905150413513_0.665646493434906_,0.5889570713043213_0.6073619723320007_0.6257668733596802_0.6595091819763184_0.6564416885375977_0.6809815764427185_0.6533742547035217_0.6625766754150391_0.6656441688537598_0.6932515501976013_0.6840490698814392_0.6687116622924805_0.6932515501976013_0.6809815764427185_0.6871165633201599_0.7024539709091187_0.7085889577865601_0.7055214643478394_0.7085889577865601_0.7024539709091187_,0.7569029927253723_0.7083215713500977_0.6947628855705261_0.6633533239364624_0.6496104598045349_0.6405994296073914_0.642355740070343_0.6361187696456909_0.6461532115936279_0.6284706592559814_0.6207873821258545_0.6329063177108765_0.6232844591140747_0.6322882175445557_0.6081115007400513_0.6026944518089294_0.6075332164764404_0.6181491613388062_0.5908637046813965_0.6207575798034668_,0.7187560200691223_0.6943243741989136_0.6821766495704651_0.6716353297233582_0.660108745098114_0.6552745699882507_0.6551941633224487_0.6488193273544312_0.6471862196922302_0.6374941468238831_0.6330304741859436_0.6491457223892212_0.6297470927238464_0.6346151232719421_0.6304677724838257_0.625978410243988_0.6185088753700256_0.6204695701599121_0.6206588745117188_0.6159703731536865_,CC
Thu Oct 13 20:54:18 2022,InceptionV3,32,20,1e-05,"              precision    recall  f1-score   support

      Benign       0.56      0.66      0.60       215
   Malignant       0.37      0.28      0.32       154

    accuracy                           0.50       369
   macro avg       0.46      0.47      0.46       369
weighted avg       0.48      0.50      0.48       369
",141_74_111_43_,0.5823211669921875_0.5931174159049988_0.6160593628883362_0.6039136052131653_0.6052631735801697_0.6309041976928711_0.6396760940551758_0.6551956534385681_0.6410256624221802_0.647773265838623_0.6255060434341431_0.637651801109314_0.6707152724266052_0.6470985412597656_0.6686909794807434_0.6686909794807434_0.6558704376220703_0.6592442393302917_0.6788124442100525_0.6815114617347717_,0.5962059497833252_0.5907859206199646_0.642276406288147_0.642276406288147_0.6449864506721497_0.6639566421508789_0.6504064798355103_0.6476964950561523_0.5989159941673279_0.6178861856460571_0.6151761412620544_0.6233062148094177_0.6178861856460571_0.6287263035774231_0.6368563771247864_0.6070460677146912_0.6504064798355103_0.6558265686035156_0.6693766713142395_0.6612465977668762_,0.8513604402542114_0.7870625853538513_0.7655593752861023_0.729028046131134_0.7410794496536255_0.7133384346961975_0.6891433596611023_0.677214503288269_0.6843522191047668_0.691276490688324_0.705868124961853_0.689987063407898_0.6536811590194702_0.6857618093490601_0.6639971733093262_0.6541851758956909_0.6570178866386414_0.6453969478607178_0.6402341723442078_0.6309893727302551_,0.6889958381652832_0.6886823177337646_0.6621344089508057_0.650359570980072_0.645024299621582_0.6335734724998474_0.6218854784965515_0.6190097332000732_0.6732451915740967_0.6535283327102661_0.6420033574104309_0.6358947157859802_0.6322665214538574_0.6736934185028076_0.6222807765007019_0.6437788605690002_0.6298478245735168_0.6340265274047852_0.615858793258667_0.6049602031707764_,MLO
Thu Oct 13 21:13:24 2022,InceptionV3,32,20,1e-05,"              precision    recall  f1-score   support

      Benign       0.58      0.56      0.57       191
   Malignant       0.41      0.43      0.42       135

    accuracy                           0.51       326
   macro avg       0.49      0.49      0.49       326
weighted avg       0.51      0.51      0.51       326
",107_84_77_58_,0.5960214138031006_0.614384114742279_0.615149199962616_0.6587605476379395_0.6503443121910095_0.6457536220550537_0.6572303175926208_0.6587605476379395_0.6671767234802246_0.6572303175926208_0.6488140821456909_0.6924254298210144_0.6740627288818359_0.7031369805335999_0.6962509751319885_0.6962509751319885_0.6855394244194031_0.6962509751319885_0.6954858303070068_0.6870696544647217_,0.5613496899604797_0.5736196041107178_0.6411042809486389_0.6012269854545593_0.5889570713043213_0.60429447889328_0.6104294657707214_0.6196318864822388_0.6165643930435181_0.6288343667984009_0.6349693536758423_0.6349693536758423_0.6564416885375977_0.6257668733596802_0.6319018602371216_0.6104294657707214_0.6288343667984009_0.6441717743873596_0.60429447889328_0.6288343667984009_,0.8088496327400208_0.766568124294281_0.743877649307251_0.7073444128036499_0.7267717719078064_0.7115423679351807_0.685210645198822_0.6784364581108093_0.6848169565200806_0.6797593832015991_0.676219642162323_0.6426494121551514_0.6646470427513123_0.6114639043807983_0.6296269297599792_0.6249011754989624_0.6311665177345276_0.6233406066894531_0.6238991618156433_0.624940812587738_,0.7013262510299683_0.7413768768310547_0.6573304533958435_0.6707344055175781_0.6703274846076965_0.6555771231651306_0.6382678747177124_0.6416239142417908_0.6254128813743591_0.6256533861160278_0.6366868615150452_0.6048499941825867_0.6064319014549255_0.6372751593589783_0.6149685382843018_0.629305899143219_0.6143019795417786_0.6025076508522034_0.6369679570198059_0.6167107224464417_,CC
Thu Oct 13 21:19:33 2022,InceptionV3,32,20,1e-05,"              precision    recall  f1-score   support

      Benign       0.59      0.51      0.54       191
   Malignant       0.42      0.50      0.45       135

    accuracy                           0.50       326
   macro avg       0.50      0.50      0.50       326
weighted avg       0.52      0.50      0.51       326
",97_94_68_67_,0.5631216764450073_0.6136189699172974_0.5914307832717896_0.6335118412971497_0.6480489373207092_0.6434583067893982_0.6579954028129578_0.640397846698761_0.6503443121910095_0.6595256328582764_0.6717674136161804_0.6817138195037842_0.6434583067893982_0.6725324988365173_0.6587605476379395_0.6725324988365173_0.6840091943740845_0.6778882741928101_0.6832440495491028_0.7008416056632996_,0.5889570713043213_0.6901840567588806_0.6472392678260803_0.7085889577865601_0.7147239446640015_0.6840490698814392_0.6595091819763184_0.699386477470398_0.7116564512252808_0.6779140830039978_0.6840490698814392_0.7331288456916809_0.6809815764427185_0.7055214643478394_0.699386477470398_0.6901840567588806_0.7208588719367981_0.7085889577865601_0.7116564512252808_0.6748466491699219_,0.8340710401535034_0.7482333183288574_0.752443253993988_0.7065878510475159_0.6806776523590088_0.6841004490852356_0.6568774580955505_0.681914210319519_0.6572633981704712_0.6670396327972412_0.6654124855995178_0.6550600528717041_0.6604859828948975_0.6371778249740601_0.6464176177978516_0.644454300403595_0.6334922909736633_0.6451209187507629_0.6222811341285706_0.6038299202919006_,0.7284206748008728_0.6292359232902527_0.6521210670471191_0.606998860836029_0.5954915881156921_0.600048840045929_0.6228817701339722_0.6032073497772217_0.5930072665214539_0.6005470752716064_0.5897149443626404_0.5778036713600159_0.5932640433311462_0.5848259329795837_0.5981397032737732_0.6043809056282043_0.5873643159866333_0.5970826745033264_0.5966885089874268_0.611083447933197_,CC
Thu Oct 13 21:23:15 2022,InceptionV3,32,20,1e-05,"              precision    recall  f1-score   support

      Benign       0.59      0.64      0.61       215
   Malignant       0.43      0.38      0.41       154

    accuracy                           0.53       369
   macro avg       0.51      0.51      0.51       369
weighted avg       0.52      0.53      0.53       369
",137_78_95_59_,0.5344129800796509_0.6032388806343079_0.6147098541259766_0.6241565346717834_0.6450742483139038_0.6410256624221802_0.6410256624221802_0.6336032152175903_0.6585695147514343_0.6336032152175903_0.6423751711845398_0.6518218517303467_0.6457489728927612_0.6450742483139038_0.6470985412597656_0.6572199463844299_0.667341411113739_0.6659919023513794_0.6524966359138489_0.6659919023513794_,0.5365853905677795_0.5447154641151428_0.5799458026885986_0.577235758304596_0.5691056847572327_0.5989159941673279_0.6205962300300598_0.631436288356781_0.6205962300300598_0.6233062148094177_0.6395664215087891_0.6639566421508789_0.6585366129875183_0.6666666865348816_0.6449864506721497_0.6395664215087891_0.6531165242195129_0.6693766713142395_0.6449864506721497_0.6395664215087891_,0.862105667591095_0.7717000246047974_0.7580274939537048_0.7321056723594666_0.7003467679023743_0.71656334400177_0.6953223943710327_0.6947674751281738_0.6831346750259399_0.6773278713226318_0.6757575273513794_0.6623987555503845_0.6618970632553101_0.6816365718841553_0.6585609912872314_0.6520670056343079_0.6638526320457458_0.6472427248954773_0.6492083072662354_0.6521586775779724_,0.8194926381111145_0.7671121954917908_0.6946070194244385_0.7069074511528015_0.7302260398864746_0.703488826751709_0.6586028933525085_0.6636416912078857_0.6754996180534363_0.6440924406051636_0.6459134817123413_0.6249771118164062_0.6227809190750122_0.6123477220535278_0.6176281571388245_0.6258230209350586_0.6222894191741943_0.6201244592666626_0.6270138025283813_0.6207965016365051_,MLO
Thu Oct 13 21:27:36 2022,InceptionV3,32,20,1e-05,"              precision    recall  f1-score   support

      Benign       0.58      0.53      0.55       215
   Malignant       0.41      0.45      0.43       154

    accuracy                           0.50       369
   macro avg       0.49      0.49      0.49       369
weighted avg       0.51      0.50      0.50       369
",114_101_84_70_,0.5634278059005737_0.5802968740463257_0.5931174159049988_0.6390013694763184_0.6241565346717834_0.6268556118011475_0.6133603453636169_0.6410256624221802_0.6457489728927612_0.6443994641304016_0.640350878238678_0.6275303363800049_0.6410256624221802_0.6450742483139038_0.659919023513794_0.659919023513794_0.6686909794807434_0.662618100643158_0.6653171181678772_0.6605938076972961_,0.6070460677146912_0.6043360233306885_0.6097561120986938_0.5989159941673279_0.5474254488945007_0.574525773525238_0.5718157291412354_0.5691056847572327_0.5989159941673279_0.6043360233306885_0.6260162591934204_0.5880758762359619_0.631436288356781_0.6558265686035156_0.6043360233306885_0.6368563771247864_0.631436288356781_0.6043360233306885_0.6043360233306885_0.6016260385513306_,0.8372200727462769_0.7875135540962219_0.7479158043861389_0.7325778007507324_0.7183841466903687_0.7095483541488647_0.7033385038375854_0.6910989284515381_0.6804797649383545_0.6930121183395386_0.6828908324241638_0.6791167259216309_0.6618545055389404_0.6764344573020935_0.6559626460075378_0.6628032326698303_0.6501854062080383_0.6492868661880493_0.6507375240325928_0.6551809906959534_,0.6775256395339966_0.6777417063713074_0.6547852754592896_0.6640688180923462_0.7325198650360107_0.6726171374320984_0.6908146142959595_0.7031328678131104_0.6538255214691162_0.649454653263092_0.6451353430747986_0.6363758444786072_0.6376096606254578_0.617315948009491_0.634854793548584_0.6159225702285767_0.6411312818527222_0.6449779272079468_0.6420897841453552_0.6550509333610535_,MLO
Thu Oct 20 18:09:57 2022,InceptionV3,32,20,0.001,"              precision    recall  f1-score   support

      Benign       0.58      0.66      0.62       215
   Malignant       0.41      0.34      0.37       154

    accuracy                           0.52       369
   macro avg       0.50      0.50      0.49       369
weighted avg       0.51      0.52      0.51       369
",141_74_102_52_,0.5944669246673584_0.6275303363800049_0.6248313188552856_0.6396760940551758_0.6417003870010376_0.6605938076972961_0.6410256624221802_0.643049955368042_0.6666666865348816_0.6632928252220154_0.6720647811889648_0.670040488243103_0.6767881512641907_0.6889338493347168_0.7044534683227539_0.6848852634429932_0.670040488243103_0.6747638583183289_0.6970310211181641_0.6943320035934448_,0.6639566421508789_0.6585366129875183_0.6368563771247864_0.6395664215087891_0.6585366129875183_0.6720867156982422_0.6476964950561523_0.6585366129875183_0.6639566421508789_0.6449864506721497_0.6449864506721497_0.6585366129875183_0.6476964950561523_0.6639566421508789_0.6558265686035156_0.6504064798355103_0.6585366129875183_0.6639566421508789_0.6504064798355103_0.6531165242195129_,0.7924819588661194_0.6572483777999878_0.6585431694984436_0.6417014598846436_0.6424322724342346_0.6235907673835754_0.6167451739311218_0.6349188685417175_0.6081428527832031_0.5962626338005066_0.5970962047576904_0.6104282140731812_0.5867706537246704_0.584671139717102_0.569992184638977_0.5876039862632751_0.5932288765907288_0.5842711329460144_0.5660576820373535_0.572890043258667_,0.654676079750061_0.6236159801483154_0.6550906896591187_0.6487312912940979_0.6165212988853455_0.6088402271270752_0.5887815356254578_0.6078027486801147_0.6037441492080688_0.620180606842041_0.6075259447097778_0.5929794311523438_0.596250593662262_0.619075357913971_0.5934374928474426_0.5892086625099182_0.6021555066108704_0.5978231430053711_0.639902651309967_0.6129316687583923_,MLO
Thu Oct 20 18:13:54 2022,InceptionV3,32,20,0.01,"              precision    recall  f1-score   support

      Benign       0.59      0.55      0.57       215
   Malignant       0.43      0.47      0.45       154

    accuracy                           0.51       369
   macro avg       0.51      0.51      0.51       369
weighted avg       0.52      0.51      0.52       369
",118_97_82_72_,0.5782725811004639_0.6255060434341431_0.6201079487800598_0.6147098541259766_0.6282051205635071_0.6369770765304565_0.659919023513794_0.6565452218055725_0.6565452218055725_0.6592442393302917_0.6761133670806885_0.6653171181678772_0.670040488243103_0.659919023513794_0.6612685322761536_0.672739565372467_0.6497975587844849_0.6686909794807434_0.692307710647583_0.6666666865348816_,0.6829268336296082_0.577235758304596_0.6395664215087891_0.6558265686035156_0.642276406288147_0.6504064798355103_0.642276406288147_0.5962059497833252_0.6720867156982422_0.6531165242195129_0.6937669515609741_0.6747967600822449_0.6395664215087891_0.6558265686035156_0.6287263035774231_0.6693766713142395_0.6612465977668762_0.6693766713142395_0.6693766713142395_0.6558265686035156_,0.7971165776252747_0.6648699045181274_0.6461695432662964_0.6729236841201782_0.6424974799156189_0.6374397277832031_0.6250244975090027_0.616252064704895_0.6118077635765076_0.5962950587272644_0.6040799617767334_0.5932292342185974_0.6076231598854065_0.6074932813644409_0.6040868759155273_0.5972380638122559_0.6042404770851135_0.5900278687477112_0.5873793363571167_0.600696325302124_,0.6318361163139343_0.6490544080734253_0.6330435872077942_0.604243814945221_0.6236990690231323_0.6362479329109192_0.6329283118247986_0.6295165419578552_0.6199819445610046_0.6262505054473877_0.5785043835639954_0.5867710709571838_0.6115831732749939_0.5836330056190491_0.607089638710022_0.5916726589202881_0.5891302824020386_0.5888460278511047_0.5893825888633728_0.5951328277587891_,MLO
